BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Abstract,Comment,Keywords,File,Key
Article,"","1","Sarah Holland and Ahmed Hosny and Sarah Newman and Joshua Joseph and Kasia Chmielinski","The Dataset Nutrition Label: A Framework To Drive Higher Data Quality Standards","",,,"May","",2018,"","","","","","","","","","","","","","","","Artificial intelligence (AI) systems built on incomplete or biased data will often exhibit problematic outcomes. Current methods of data analysis, particularly before model development, are costly and not standardized. The Dataset Nutrition Label (the Label) is a diagnostic framework that lowers the barrier to standardized data analysis by providing a distilled yet comprehensive overview of dataset "ingredients" before AI model development. Building a Label that can be applied across domains and data types requires that the framework itself be flexible and adaptable; as such, the Label is comprised of diverse qualitative and quantitative modules generated through multiple statistical and probabilistic modelling backends, but displayed in a standardized format. To demonstrate and advance this concept, we generated and published an open source prototype with seven sample modules on the ProPublica Dollars for Docs dataset. The benefits of the Label are manyfold. For data specialists, the Label will drive more robust data analysis practices, provide an efficient way to select the best dataset for their purposes, and increase the overall quality of AI models as a result of more robust training datasets and the ability to check for issues at the time of model development. For those building and publishing datasets, the Label creates an expectation of explanation, which will drive better data collection practices. We also explore the limitations of the Label, including the challenges of generalizing across diverse datasets, and the risk of using "ground truth" data as a comparison dataset. We discuss ways to move forward given the limitations identified. Lastly, we lay out future directions for the Dataset Nutrition Label project, including research and public policy agendas to further advance consideration of the concept.","","cs.DB, cs.CY","http://arxiv.org/pdf/1805.03677v1",""
Article,"1050601491","10","Mancuhan, Koray and Clifton, Chris","Combating discrimination using Bayesian networks","Artificial Intelligence and Law",22,2,"","211--238",2014,"","","","","","","","","","","","","","","","Discrimination in decision making is prohibited on many attributes (religion, gender, etc{\ldots}), but often present in historical decisions. Use of such discriminatory historical decision making as training data can perpetuate discrimi-nation, even if the protected attributes are not directly present in the data. This work focuses on discovering discrimination in instances and preventing discrimination in classification. First, we propose a discrimination discovery method based on mod-eling the probability distribution of a class using Bayesian networks. This measures the effect of a protected attribute (e.g., gender) in a subset of the dataset using the estimated probability distribution (via a Bayesian network). Second, we propose a classification method that corrects for the discovered discrimination without using protected attributes in the decision process. We evaluate the discrimination dis-covery and discrimination prevention approaches on two different datasets. The empirical results show that a substantial amount of discrimination identified in instances is prevented in future decisions.","","Bayesian network,Data mining,Discrimination discovery,Discrimination prevention","Users/sarah/Documents/Paper/Combating discrimination using Bayesian networks.pdf",""
Article,"","100","Feldman, Michael and Friedler, Sorelle and Moeller, John and Scheidegger, Carlos and Venkatasubramanian, Suresh","Certifying and removing disparate impact","",,,"","1--28",2014,"","","http://arxiv.org/abs/1412.3756","","","","","","","","","","","","","What does it mean for an algorithm to be biased? In U.S. law, unintentional bias is encoded via disparate impact, which occurs when a selection process has widely different outcomes for different groups, even as it appears to be neutral. This legal determination hinges on a definition of a protected class (ethnicity, gender, religious practice) and an explicit description of the process. When the process is implemented using computers, determining disparate impact (and hence bias) is harder. It might not be possible to disclose the process. In addition, even if the process is open, it might be hard to elucidate in a legal setting how the algorithm makes its decisions. Instead of requiring access to the algorithm, we propose making inferences based on the data the algorithm uses. We make four contributions to this problem. First, we link the legal notion of disparate impact to a measure of classification accuracy that while known, has received relatively little attention. Second, we propose a test for disparate impact based on analyzing the information leakage of the protected class from the other data attributes. Third, we describe methods by which data might be made unbiased. Finally, we present empirical evidence supporting the effectiveness of our test for disparate impact and our approach for both masking bias and preserving relevant information in the data. Interestingly, our approach resembles some actual selection practices that have recently received legal scrutiny.","","","Users/sarah/Documents/Paper/Certifying and removing disparate impact.pdf",""
Article,"","101","Skirpan, Michael and Gorelick, Micha","The Authority of "Fair" in Machine Learning","",,,"","",17,"","","http://arxiv.org/abs/1706.09976","","","","","","","","","","","","","In this paper, we argue for the adoption of a normative definition of fairness within the machine learning community. After characterizing this definition, we review the current literature of Fair ML in light of its implications. We end by suggesting ways to incorporate a broader community and generate further debate around how to decide what is fair in ML.","","","Users/sarah/Documents/Paper/The Authority of "Fair" in Machine Learning.pdf",""
Article,"","102","Politics, Computational","Engineering the Public: Big Data, Surveillance and Computational Politics By Zeynep Tufekci","First Monday",19,7,"","1--39",2014,"","","https://www.ipvs.uni-stuttgart.de/abteilungen/de/","","","","","","","","","","","","","","","","Users/sarah/Documents/Paper/Engineering the Public- Big Data, Surveillance and Computational Politics.pdf",""
Article,"","103","{Kamiran FKAMIRAN}, Faisal","Classification with No Discrimination by Preferential Sampling Toon Calders","",,,"","",2010,"","","https://dtai.cs.kuleuven.be/events/Benelearn2010/submissions/benelearn2010{\_}submission{\_}18.pdf","","","","","","","","","","","","","The concept of classification without discrimi-nation is a new area of research. (Kamiran {\&} Calders, 2009) introduced the idea of Classifica-tion with No Discrimination (CND) and proposed a solution based on " massaging " the data to re-move the discrimination from it with the least possible changes. In this paper, we propose a new solution to the CND problem by introducing a sampling scheme for making the data discrim-ination free instead of relabeling the dataset. On the resulting non-discriminatory dataset we then learn a classifier. This new method is not only less intrusive as compared to the " massaging " but also outperforms the " reweighing " approach of (Calders et al., 2009). The proposed method has been implemented and experimental results on the Census Income dataset show promising re-sults: in all experiments our method performs on-par with the state-of-the art non-discriminatory techniques.","","","Users/sarah/Documents/Paper/Classification with No Discrimination by Preferential Sampling.pdf",""
Article,"","104","Kamishima, Toshihiro and Akaho, Shotaro and Asoh, Hideki and Sakuma, Jun","with Prejudice Remover Regularizer","",,,"","35--50",2012,"","","","","","","","","","","","","","","","","","classification,discrimination,fairness,information theory,logistic regression,social responsibility","Users/sarah/Documents/Paper/Fairness-Aware Classifier with Prejudice Remover Regularizer.pdf",""
Article,"","106","Angwin, Julia and Larson, Jeff and Mattu, Surya and Kirchner, Lauren","Machine ia","",,,"","1--15",17,"","","","","","","","","","","","","","","","","","","Users/sarah/Documents/Paper/Machine Bias — ProPublica.pdf",""
Article,"","107","Poirier, Lindsay","Reforming Mis-care in Big Data Analysis","",,,"","1--18",2012,"","","","","","","","","","","","","","","","Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui blandit praesent luptatum zzril delenit augue duis dolore te feugait nulla facilisi. Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat.","","","Users/sarah/Documents/Paper/Reforming Mis-care in Big Data Analysis.pdf",""
Article,"","108","Sarah Holland and Ahmed Hosny and Sarah Newman and Joshua Joseph and Kasia Chmielinski","The Dataset Nutrition Label: A Framework To Drive Higher Data Quality Standards","",,,"May","",2018,"","","","","","","","","","","","","","","","Artificial intelligence (AI) systems built on incomplete or biased data will often exhibit problematic outcomes. Current methods of data analysis, particularly before model development, are costly and not standardized. The Dataset Nutrition Label (the Label) is a diagnostic framework that lowers the barrier to standardized data analysis by providing a distilled yet comprehensive overview of dataset "ingredients" before AI model development. Building a Label that can be applied across domains and data types requires that the framework itself be flexible and adaptable; as such, the Label is comprised of diverse qualitative and quantitative modules generated through multiple statistical and probabilistic modelling backends, but displayed in a standardized format. To demonstrate and advance this concept, we generated and published an open source prototype with seven sample modules on the ProPublica Dollars for Docs dataset. The benefits of the Label are manyfold. For data specialists, the Label will drive more robust data analysis practices, provide an efficient way to select the best dataset for their purposes, and increase the overall quality of AI models as a result of more robust training datasets and the ability to check for issues at the time of model development. For those building and publishing datasets, the Label creates an expectation of explanation, which will drive better data collection practices. We also explore the limitations of the Label, including the challenges of generalizing across diverse datasets, and the risk of using "ground truth" data as a comparison dataset. We discuss ways to move forward given the limitations identified. Lastly, we lay out future directions for the Dataset Nutrition Label project, including research and public policy agendas to further advance consideration of the concept.","","cs.DB, cs.CY","http://arxiv.org/pdf/1805.03677v1",""
